"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3230000","CDFH3301021996000013","1996-10-22","","01","영업/정상","13","영업중","","","","","417-8512","","138-845","서울특별시 송파구 석촌동 212-4","서울특별시 송파구 삼학사로12길 14 (석촌동)","05679","드림태권도장","2023-03-03 09:46:43","U","2022-12-03 00:05:00.0","태권도","208643.951380239","444373.145662447","","","","","","","","",""
"3220000","CDFH3301022022000011","2022-10-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 65-11 삼경빌라","서울특별시 강남구 삼성로120길 7, 삼경빌라 지하1층 (삼성동)","06084","주식회사 파이트월드넘버원","2023-03-06 15:43:43","U","2022-12-03 00:08:00.0","권투","204541.710342415","446058.125282638","","","","","","","","",""
"3150000","CDFH3301022018000006","2018-08-28","","01","영업/정상","13","영업중","","","","","2604-6565","","","서울특별시 강서구 등촌동 668-9 청호프라자 지하1층","서울특별시 강서구 공항대로 329, 청호프라자 지하1층 (등촌동)","07591","파이널유도 멀티짐(등촌점)","2023-03-06 10:57:31","U","2022-12-03 00:08:00.0","유도","186173.47797747","450677.793228883","","","","","","","","",""
"3160000","CDFH3301022007000007","2007-09-10","","03","폐업","03","폐업","2023-03-06","","","","3281-7379","","152-873","서울특별시 구로구 구로동 766-2 외 2필지  지하1층","서울특별시 구로구 도림로 65 (구로동,외 2필지  지하1층)","08313","철심관","2023-03-06 13:40:29","U","2022-12-03 00:08:00.0","검도","190275.046338382","443033.944554783","","","","","","","","",""
"3160000","CDFH3301022000000002","2000-03-07","","01","영업/정상","13","영업중","","","","","681-6176","","152-802","서울특별시 구로구 개봉동 38-10","서울특별시 구로구 고척로21나길 42 (개봉동)","08251","행복한 백호 태권도","2023-03-06 14:50:39","U","2022-12-03 00:08:00.0","태권도","186079.519103954","444482.948611165","","","","","","","","",""
"3060000","CDFH3301022022000002","2022-02-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 상봉동 118","서울특별시 중랑구 망우로 270, 2층 (상봉동)","02136","레슬링코리아 서울센터","2023-03-07 13:13:01","U","2022-12-03 00:09:00.0","레슬링","207231.299357379","454784.313223885","","","","","","","","",""
"3040000","CDFH3301022017000003","2017-05-23","","01","영업/정상","13","영업중","","","","","02-466-6212","","","서울특별시 광진구 화양동 34-75 2층","서울특별시 광진구 아차산로29길 75, 2층 (화양동)","05016","맥코이 복싱클럽(건대점)","2023-03-07 11:20:53","U","2022-12-03 00:09:00.0","권투","206081.427332081","449095.760272141","","","","","","","","",""
"3150000","CDFH3301022023000005","2023-03-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 염창동 258-1 염창동동아3차아파트","서울특별시 강서구 양천로 731, 309동 204-1호 (염창동, 염창동동아3차아파트)","07539","파이널유도 멀티짐","2023-03-08 14:53:12","I","2022-12-02 23:00:00.0","유도","189098.806779959","449777.659575153","","","","","","","","",""
"3230000","CDFH3301022015000005","2015-04-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 장지동 841-4 대진플라자2","서울특별시 송파구 충민로2길 28, 4층 (장지동)","05816","한국체대 점핑펀태권도","2023-04-24 16:52:13","U","2022-12-03 22:06:00.0","태권도","211199.509258022","441680.580139573","","","","","","","","",""
"3150000","CDFH3301022022000002","20220329","","01","영업/정상","13","영업중","","","","","02-6951-1229","","","서울특별시 강서구 마곡동 798-8 엠비즈타워","서울특별시 강서구 마곡중앙로 59-11, 엠비즈타워 3층 301,302,303호 (마곡동)","07807","WS복싱클럽 마곡점","2022-03-29 16:48:46","I","2021-12-02 21:01:00.0","권투","","","","","","","","","","",""
"3190000","CDFH3301022022000002","20220221","","01","영업/정상","13","영업중","","","","","02-823-3693","","","서울특별시 동작구 흑석동 6-5","서울특별시 동작구 현충로 92, 3층 (흑석동)","06979","더복싱랩(The Boxing LAB) 흑석역점","2022-03-28 11:08:29","U","2021-12-02 21:00:00.0","권투","196748.112009732","445093.070865622","","","","","","","","",""
"3020000","CDFH3301022003000001","20031113","","01","영업/정상","13","영업중","","","","","02-796-5149","","140887","서울특별시 용산구 한남동 621-1","서울특별시 용산구 대사관로34길 27 (한남동)","04410","레거시 복싱짐(Legacy Boxing Gym)","2022-12-06 13:29:25","U","2021-11-02 00:08:00.0","권투","200456.643966608","447739.382008548","","","","","","","","",""
"3200000","CDFH3301022020000001","20200115","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 봉천동 929-2 은중빌딩","서울특별시 관악구 쑥고개로11길 37, 은중빌딩 지상3층,지하1층 (봉천동)","08784","도복소리태권도장","2022-04-20 09:53:01","U","2021-12-03 22:02:00.0","태권도","194824.371636663","442133.197214188","","","","","","","","",""
"3200000","CDFH3301022003000007","20030704","","01","영업/정상","13","영업중","","","","","02-883-3337","","","서울특별시 관악구 봉천동 1708 두산아파트 상가동 4층","서울특별시 관악구 봉천로 391, 두산아파트 상가1동 4층 405,406,407,408호 (봉천동)","08750","두산 은가비 태권도장","2022-08-12 11:10:35","U","2021-12-07 23:04:00.0","태권도","194879.596231677","442483.131081868","","","","","","","","",""
"3180000","CDFH3301022017000005","20170927","","03","폐업","03","폐업","20220329","","","","","","","서울특별시 영등포구 영등포동7가 145-8","서울특별시 영등포구 국회대로54길 10, 13동 302,303호 (영등포동7가, 아크로타워스퀘어)","07247","경희대 MTA 태권도","2022-03-29 10:38:14","U","2021-12-02 21:01:00.0","태권도","191714.388435407","446839.517754104","","","","","","","","",""
"3060000","CDFH3301022016000003","20160425","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 신내동 571-2","서울특별시 중랑구 신내로 62, 지하층 (신내동)","02069","한국체육관","2022-04-22 17:01:47","U","2021-12-03 22:04:00.0","권투","208389.527798903","455833.727494603","","","","","","","","",""
"3220000","CDFH3301022015000011","20150917","","03","폐업","03","폐업","20220405","","","","02-553-6395","","","서울특별시 강남구 대치동 603 지하층","서울특별시 강남구 남부순환로 2931, 지하층 (대치동)","06280","경희대 퍼스트 태권도(313)","2022-04-05 15:07:46","U","2021-12-04 00:07:00.0","태권도","205312.278554183","443512.725370606","","","","","","","","",""
"3070000","CDFH3301022013000005","20130612","","03","폐업","03","폐업","20220331","","","","","","136051","서울특별시 성북구 동선동1가 72-2 5층","서울특별시 성북구 동소문로20길 37-6, 5층 (동선동1가)","136051","Y3복싱클럽(성신여대점)","2022-04-05 13:49:43","U","2021-12-04 00:07:00.0","권투","201456.188329988","454281.957140824","","","","","","","","",""
"3180000","CDFH3301022012000006","20120705","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 신길동 364 건영아파트","서울특별시 영등포구 도림로 313 (신길동, 건영아파트)","07380","strong boxing gym","2022-04-14 13:50:34","U","2021-12-03 23:06:00.0","","191202.282285647","444841.059497028","","","","","","","","",""
"3150000","CDFH3301022016000004","2016-05-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 방화동 564-108 방화빌딩","서울특별시 강서구 금낭화로 58, 방화빌딩 지하1층 (방화동)","07607","영웅중국무술관","2023-03-08 15:25:10","U","2022-12-02 23:00:00.0","우슈","183303.675462722","452043.789307783","","","","","","","","",""
"3150000","CDFH3301022014000004","2014-03-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 방화동 564-108 방화빌딩","서울특별시 강서구 금낭화로 58, 방화빌딩 지하1층 (방화동)","07607","싸울아이","2023-03-08 15:25:34","U","2022-12-02 23:00:00.0","권투","183303.675462722","452043.789307783","","","","","","","","",""
"3240000","CDFH3301022002000016","2002-09-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 천호동 362-64","서울특별시 강동구 천중로16길 34 (천호동)","05324","국일태권도장","2023-03-08 09:37:23","U","2022-12-02 23:00:00.0","","211308.165872235","449036.032635005","","","","","","","","",""
"3220000","CDFH3301022023000002","2023-03-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 개포동 189 개포자이 프레지던스","서울특별시 강남구 삼성로 14, 213-214호 (개포동, 개포자이 프레지던스)","06331","엘앤케이 경희대 태권도 앤 점핑스쿨 스포츠아트센터","2023-03-22 17:16:11","U","2022-12-02 22:04:00.0","","206239.623997375","442598.51298973","","","","","","","","",""
"3160000","CDFH3301022023000003","2023-03-10","","01","영업/정상","13","영업중","","","","","02-830-7989","","","서울특별시 구로구 구로동 1125-5 동연빌딩","서울특별시 구로구 시흥대로 563, 동연빌딩 4층 (구로동)","08391","용인대 SM복싱클럽 구로디지털단지역점","2023-03-10 10:23:26","I","2022-12-02 23:02:00.0","권투","191209.106092001","442361.551816606","","","","","","","","",""
"3070000","CDFH3301022021000005","2021-12-08","","01","영업/정상","13","영업중","","","","","02-914-7333","","","서울특별시 성북구 종암동 104-1 종암에스케이아파트","서울특별시 성북구 종암로24가길 53, 201호 (종암동, 종암에스케이아파트)","02798","점핑클럽 줄넘기 종암점","2023-03-10 10:36:39","U","2022-12-02 23:02:00.0","태권도","203196.800963466","455429.846270094","","","","","","","","",""
"3230000","CDFH3301022019000001","2019-01-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 254-5 203호","서울특별시 송파구 송파대로37길 70, 203호 (석촌동)","05695","용인대 헬리오 태권도장","2023-03-17 13:13:54","U","2022-12-02 23:09:00.0","태권도","209186.256357737","444169.524049172","","","","","","","","",""
"3240000","CDFH3301022015000002","2015-03-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 명일동 312-82 효승빌딩 지층","서울특별시 강동구 양재대로141길 14, 효승빌딩 지층 (명일동)","05257","SMK GYM mma boxing","2023-03-10 17:00:08","U","2022-12-02 23:02:00.0","","212579.720652807","449900.906558326","","","","","","","","",""
"3220000","CDFH3301022021000003","2021-07-05","","03","폐업","03","폐업","2023-03-13","","","","","","","서울특별시 강남구 도곡동 422","서울특별시 강남구 논현로28길 48, 5층 (도곡동)","06300","홍익인성 태권도장","2023-03-13 16:39:37","U","2022-12-02 23:05:00.0","태권도","203973.744772304","442459.342151104","","","","","","","","",""
"3060000","CDFH3301022015000001","2015-04-30","","03","폐업","03","폐업","2023-03-09","","","","","","","서울특별시 중랑구 상봉동 109-31 세림빌딩","서울특별시 중랑구 봉우재로 113, 지하1층 (상봉동)","02138","플로어 엑스","2023-03-13 10:32:21","U","2022-12-02 23:05:00.0","","207488.099044265","454492.626186323","","","","","","","","",""
"3100000","CDFH3301022012000006","2012-06-11","","01","영업/정상","13","영업중","","","","","02-935-9312","","139-856","서울특별시 노원구 중계동 157-26 보고프라자 601호","서울특별시 노원구 덕릉로 680, 601호 (중계동,보고프라자)","","비전복싱체육관","2023-03-13 13:54:41","U","2022-12-02 23:05:00.0","권투","206589.201406133","461778.51908266","","","","","","","","",""
"3130000","CDFH3301022023000001","2023-03-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 상암동 34-46","서울특별시 마포구 월드컵북로 336, 지1층 (상암동)","03930","티에이치용인대상암유도관","2023-03-14 13:49:40","I","2022-12-02 23:06:00.0","유도","190625.002537437","452644.181543234","","","","","","","","",""
"3090000","CDFH3301022017000003","2017-12-28","","01","영업/정상","13","영업중","","","","","02-990-8415","","","서울특별시 도봉구 창동 661-32","서울특별시 도봉구 도봉로118길 7 (창동)","01453","주짓수&킥복싱 쌍문탑짐","2023-03-14 09:36:24","U","2022-12-02 23:06:00.0","","203077.380716211","460753.656887463","","","","","","","","",""
"3130000","CDFH3301022023000002","2023-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 342-20 지1층","서울특별시 마포구 와우산로23길 20-30, 지1층 (서교동)","04054","히트앤핏홍대","2023-03-15 18:02:51","I","2022-12-02 23:07:00.0","권투","193360.660239183","450212.141186246","","","","","","","","",""
"3230000","CDFH3301021998000009","1998-11-14","","01","영업/정상","13","영업중","","","","","419-4189","","","서울특별시 송파구 방이동 170-3","서울특별시 송파구 백제고분로50길 35 (방이동, 정원빌딩)","05628","용인대 방이태권도","2023-03-15 09:59:15","U","2022-12-02 23:07:00.0","태권도","210423.730780943","445693.164482588","","","","","","","","",""
"3120000","CDFH3301022001000003","20010316","","01","영업/정상","13","영업중","","","","","","","120814","서울특별시 서대문구 북가좌동 307-34","서울특별시 서대문구 응암로 61, 4층 (북가좌동)","03681","경희대신화 태권도","2022-07-28 15:22:39","U","2021-12-06 21:00:00.0","태권도","191993.934666673","452947.074163769","","","","","","","","",""
"3100000","CDFH3301022023000001","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 하계동 208-5 스시다네","서울특별시 노원구 한글비석로1길 33, 스시다네 2층 (하계동)","01790","슈가복싱","2023-03-24 13:21:38","I","2022-12-02 22:06:00.0","","206143.183717456","459646.392546099","","","","","","","","",""
"3210000","CDFH3301022022000005","2022-06-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 858-40","서울특별시 서초구 방배중앙로15길 3, 2층 (방배동)","06570","한국체대 INFINITI태권도","2023-03-17 09:08:09","U","2022-12-02 23:09:00.0","태권도","198887.529816638","442901.084865722","","","","","","","","",""
"3230000","CDFH3301022023000002","2023-03-20","","01","영업/정상","13","영업중","","","","","02-412-9186","","","서울특별시 송파구 가락동 174-23","서울특별시 송파구 오금로46길 16-1, 지하 1층 (가락동)","05769","ITF 태권도 송파도장","2023-03-20 09:05:54","I","2022-12-02 22:02:00.0","태권도","211891.949024541","443767.581006339","","","","","","","","",""
"3220000","CDFH3301022023000003","2023-03-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 개포동 189 개포자이 프레지던스","서울특별시 강남구 삼성로 14, 4층 402,403호 (개포동, 개포자이 프레지던스)","06331","오르다 태권도장","2023-03-19 11:34:06","I","2022-12-02 22:02:00.0","태권도","206239.623997375","442598.51298973","","","","","","","","",""
"3210000","CDFH3301022019000003","2019-07-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 서초동 1572-6 금화빌딩","서울특별시 서초구 서초대로 278, 금화빌딩 지하1층 (서초동)","06645","히트앤핏 교대","2023-03-20 17:33:37","U","2022-12-02 22:02:00.0","권투","201009.715428099","443412.627214925","","","","","","","","",""
"3160000","CDFH3301021994000001","1994-08-30","","03","폐업","03","폐업","2023-03-21","","","","683-8176","","152-804","서울특별시 구로구 개봉동 97-3","서울특별시 구로구 고척로21길 31 (개봉동)","08251","매봉체육관","2023-03-21 10:25:27","U","2022-12-02 22:03:00.0","태권도","186276.849215133","444536.678945457","","","","","","","","",""
"3210000","CDFH3301021995000003","1995-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 우면동 66-2 우면종합상가","서울특별시 서초구 바우뫼로7길 8, 우면종합상가 605호 (우면동)","06762","슈퍼키즈 태권도","2023-03-22 09:36:32","U","2022-12-02 22:04:00.0","","202175.011113176","440963.759050916","","","","","","","","",""
"3190000","CDFH3301022023000001","2023-03-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 신대방동 724 보라매자이 더 포레스트 제상가동 2402호","서울특별시 동작구 여의대방로22길 121, 제상가동 2층 2402호 (신대방동, 보라매자이 더 포레스트)","07056","아라한 태권도장","2023-03-23 13:05:46","I","2022-12-02 22:05:00.0","태권도","193394.538706062","444040.843567772","","","","","","","","",""
"3050000","CDFH3301022023000002","2023-03-03","","03","폐업","03","폐업","2023-07-03","","","","","","","서울특별시 동대문구 회기동 54-15","서울특별시 동대문구 경희대로4길 60, B1층 (회기동)","02452","김영남 태권도장","2023-07-03 16:01:49","U","2022-12-07 00:06:00.0","태권도","204828.974438645","454342.282888294","","","","","","","","",""
"3240000","CDFH3301022020000004","2020-03-18","","01","영업/정상","13","영업중","","","","","02-6956-7439","","","서울특별시 강동구 성내동 423-13 석영빌딩","서울특별시 강동구 양재대로91길 77, 석영빌딩 2층 (성내동)","05403","정무도장","2023-03-23 13:45:13","U","2022-12-02 22:05:00.0","합기도","211583.956740628","447395.344536037","","","","","","","","",""
"3140000","CDFH3301022014000005","2014-10-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신정동 1009-6 남부빌딩","서울특별시 양천구 신월로 389, 남부빌딩  지하 302호 (신정동)","08023","서울휘트니스 태권도","2023-03-23 15:35:37","U","2022-12-02 22:05:00.0","","187925.667553697","446739.797762899","","","","","","","","",""
"3160000","CDFH3301022011000003","20110726","","01","영업/정상","13","영업중","","","","","2685-4347","","152828","서울특별시 구로구 고척동 97-33 4층","서울특별시 구로구 경서로 15 (고척동,4층)","08232","경희대 신화 태권도","2022-04-12 14:03:38","U","2021-12-03 23:04:00.0","태권도","187250.979057046","444084.404724335","","","","","","","","",""
"3020000","CDFH3301022022000002","20221208","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 원효로2가 3-15 2층","서울특별시 용산구 원효로 212, 2층 (원효로2가)","04368","효창복싱","2022-12-08 09:04:50","I","2021-11-01 23:00:00.0","권투","196892.836559124","448355.376118411","","","","","","","","",""
"3180000","CDFH3301022007000003","20070328","","03","폐업","03","폐업","20220421","","","","844-1218","","","서울특별시 영등포구 신길동 159-50","서울특별시 영등포구 도신로53길 10 (신길동)","07316","보성힐권투체육관","2022-04-21 08:57:50","U","2021-12-03 22:03:00.0","","192388.273148159","445509.426363413","","","","","","","","",""
"3180000","CDFH3301022007000001","20070221","","03","폐업","03","폐업","20220423","","","","","","","서울특별시 영등포구 신길동 237-19 효창빌딩4층","서울특별시 영등포구 신길로 140 (신길동, 효창빌딩)","07388","용인대유도체육관","2022-04-21 10:29:21","U","2021-12-03 22:03:00.0","","192031.558913971","444707.745786622","","","","","","","","",""
"3230000","CDFH3301022022000006","20220729","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬상가 205,206호","서울특별시 송파구 거마로 56, 205,206호 (거여동, 송파시그니처롯데캐슬)","05767","퍼스트 태권도","2022-07-29 15:57:35","I","2021-12-06 21:01:00.0","태권도","213149.522764117","443705.473072412","","","","","","","","",""
"3050000","CDFH3301022023000003","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 휘경동 319-13 두리빌딩","서울특별시 동대문구 회기로 188, 두리빌딩 8층 (휘경동)","02446","히트앤핏 스카이라운지","2023-03-24 17:03:10","I","2022-12-02 22:06:00.0","권투","204948.15892381","454162.585736596","","","","","","","","",""
"3130000","CDFH3301022014000007","2014-10-31","","01","영업/정상","13","영업중","","","","","","","121-859","서울특별시 마포구 아현동 291-7 청원빌딩 지하1층","서울특별시 마포구 굴레방로 17 (아현동, 청원빌딩 지하1층)","04116","월드스타클래스태권도장","2023-03-24 11:48:30","U","2022-12-02 22:06:00.0","","196002.238594738","450383.63185681","","","","","","","","",""
"3180000","CDFH3301021997000007","1997-09-10","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 영등포구 여의대방로43라길 6, 4층 404호 (신길동, 신길프라자)","07358","강철태권도장(신길관)","2023-03-27 10:09:00","U","2022-12-02 22:09:00.0","태권도","","","","","","","","","","",""
"3170000","CDFH3301022023000001","2023-03-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 60-19 SJ테크노빌 B108, B109호","서울특별시 금천구 벚꽃로 278, SJ테크노빌 B108, B109호 (가산동)","08511","엑스퍼트짐 가산점","2023-03-28 09:31:21","I","2022-12-02 21:00:00.0","권투","189722.178532426","441920.972770099","","","","","","","","",""
"3190000","CDFH3301022002000001","2002-02-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 상도동 208-8","서울특별시 동작구 장승배기로 7, 3층 (상도동)","07047","상도태권도 신상도점","2023-03-28 13:55:15","U","2022-12-02 21:00:00.0","태권도","194926.105991067","444124.347109259","","","","","","","","",""
"3110000","CDFH3301022002000001","2002-01-31","","01","영업/정상","13","영업중","","","","","023599898","","","서울특별시 은평구 불광동 481-90","서울특별시 은평구 통일로 912 (불광동)","03340","진관유도체육관","2023-03-28 13:41:36","U","2022-12-02 21:00:00.0","유도","192888.237564605","458002.268711919","","","","","","","","",""
"3080000","CDFH3301022023000001","2023-03-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 번동 308-3 창암빌딩","서울특별시 강북구 오현로34길 12, 지층 (번동)","01224","번동탑짐(주짓수,킥복싱,무에타이,복싱)","2023-03-29 14:59:36","I","2022-12-04 00:01:00.0","권투","203465.746576461","458475.29343941","","","","","","","","",""
"3100000","CDFH3301022000000015","2000-09-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 상계동 1293","서울특별시 노원구 덕릉로118길 29, 상가동 404호 (상계동, 불암현대아파트)","01646","가천대 유신태권도","2023-03-30 12:58:42","U","2022-12-04 00:01:00.0","태권도","207131.576339305","462829.18165682","","","","","","","","",""
"3120000","CDFH3301022016000002","2016-02-18","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 서대문구 가재울미래로 2, 별동상가동 307호 (남가좌동, DMC파크뷰자이)","03711","경희대 탑 태권도장","2023-03-31 14:11:21","U","2022-12-04 00:02:00.0","태권도","","","","","","","","","","",""
"3070000","CDFH3301022023000003","2023-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 안암동5가 101-3 타이거빌딩","서울특별시 성북구 개운사길 8, 타이거빌딩 지2층 (안암동5가)","02842","이쁨멋짐(GYM)","2023-04-03 13:24:12","I","2022-12-04 00:05:00.0","권투","202543.83290282","453847.817766408","","","","","","","","",""
"3000000","CDFH3301021990000001","1990-01-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 창신동 647-15","서울특별시 종로구 창신길 49, 1층 (창신동)","03097","동대문태권도","2023-04-04 08:59:49","U","2022-12-04 00:06:00.0","태권도","200853.339596878","452395.602001929","","","","","","","","",""
"3100000","CDFH3301022021000006","2021-11-10","","03","폐업","03","폐업","2023-04-05","","","","","","","서울특별시 노원구 월계동 322-1 성원아파트","서울특별시 노원구 마들로3길 37, 201호 (월계동, 성원아파트)","01907","녹천태권도장","2023-04-05 13:07:40","U","2022-12-04 00:07:00.0","태권도","205448.805750683","458564.347940661","","","","","","","","",""
"3100000","CDFH3301022023000003","2023-04-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 상계동 730-3 다모아빌딩","서울특별시 노원구 동일로 1379, 다모아빌딩 지층층 2호 (상계동)","01762","더뉴복싱","2023-04-07 14:52:58","I","2022-12-04 00:09:00.0","권투","205302.900238043","461048.763788835","","","","","","","","",""
"3100000","CDFH3301022023000004","2023-04-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 월계동 322-1 성원아파트","서울특별시 노원구 마들로3길 37, 상가동 2층 201호 (월계동, 성원아파트)","01907","녹천태권도","2023-04-07 15:46:48","I","2022-12-04 00:09:00.0","태권도","205448.805750683","458564.347940661","","","","","","","","",""
"3060000","CDFH3301022001000002","2001-03-10","","03","폐업","03","폐업","2023-04-06","","","","3421-8685","","131-872","서울특별시 중랑구 신내동 656-0 화성두산상가 205호","서울특별시 중랑구 신내로 155 (신내동)","02025","한체대석사 봉화태권도","2023-04-07 14:14:19","U","2022-12-04 00:09:00.0","태권도","208330.35418254","456814.922480529","","","","","","","","",""
